Completed Date;Reference;Paid Out (CHF);Paid In (CHF);Exchange Out;Exchange In; Balance (CHF);Category
2018 July 7;To Vacation savings;1.00;;;; 2'002.05;transfers
2018 July 6;To Vacation savings;0.30;;;; 2'003.05;transfers
2018 July 6;To Vacation savings;0.20;;;; 2'003.35;transfers
2018 July 6;To Vacation savings;0.60;;;; 2'003.55;transfers
2018 July 6;Green Gorilla;16.90;;;; 2'004.15;restaurants
2018 July 6;Grand Cafe Real Sa;31.80;;;; 2'021.05;restaurants
2018 July 6;O'les Terrasses Du Lac;80.00;;;; 2'052.85;restaurants
2018 July 6;Easyjet;413.77;;;; 2'132.85;travel
2018 July 6;To Vacation savings;0.10;;;; 2'546.62;transfers
2018 July 6;Restaurant Wasabi;5.80;;;; 2'546.72;restaurants
2018 July 6;To Vacation savings;0.99;;;; 2'552.52;transfers
2018 July 6;Nextory Ab;1.02;;SEK 9.00;; 2'553.51;general
2018 July 5;To Vacation savings;0.98;;;; 2'554.53;transfers
2018 July 5;To Vacation savings;1.00;;;; 2'555.51;transfers
2018 July 5;To Vacation savings;0.23;;;; 2'556.51;transfers
2018 July 5;To Vacation savings;0.20;;;; 2'556.74;transfers
2018 July 5;To Vacation savings;0.10;;;; 2'556.94;transfers
2018 July 5;Refund from Manor Ag - 315;; 20.65;;; 2'557.04;general
2018 July 5;Manor Ag - 315;18.65;;;; 2'536.39;shopping
2018 July 5;Manor Ag - 315;20.65;;;; 2'555.04;shopping
2018 July 5;Migros Mmm Nyon La Com;60.35;;;; 2'575.69;groceries
2018 July 5;Uber;15.82;;;; 2'636.04;transport
2018 July 5;Rstudio, Inc.;8.94;;USD 9.00;; 2'651.86;services
2018 July 4;To Vacation savings;0.18;;;; 2'660.80;transfers
2018 July 4;To Vacation savings;0.35;;;; 2'660.98;transfers
2018 July 4;To Vacation savings;0.35;;;; 2'661.33;transfers
2018 July 4;Green Gorilla;16.90;;;; 2'661.68;restaurants
2018 July 4;To Vacation savings;0.20;;;; 2'678.58;transfers
2018 July 4;To Charlotte Tengelin;2'500.00;;;; 2'678.78;transfers
2018 July 4;To Vacation savings;0.65;;;; 5'178.78;transfers
2018 July 4;Starbucks;15.40;;;; 5'179.43;restaurants
2018 July 4;Uber;8.20;;;; 5'194.83;transport
2018 July 3;To Vacation savings;0.06;;;; 5'203.03;transfers
2018 July 3;To Vacation savings;0.80;;;; 5'203.09;transfers
2018 July 3;To Vacation savings;0.60;;;; 5'203.89;transfers
2018 July 3;Payment from Martin Alexander Tengelin Et/ou;; 5'000.00;;; 5'204.49;general
2018 July 3;To Vacation savings;0.10;;;; 204.49;transfers
2018 July 3;Coop Restaurant Genève Fusterie;3.80;;;; 204.59;groceries
2018 July 3;Globus Gastro Gen?ve;23.50;;;; 208.39;groceries
2018 July 2;Loja Relay Faro;19.52;;EUR 16.75;; 231.89;shopping
2018 July 2;Loja Relay Faro;4.43;;EUR 3.80;; 251.41;shopping
2018 July 2;Faro Airport;13.00;;EUR 11.15;; 255.84;restaurants
2018 July 2;Uber;26.49;;EUR 22.73;; 268.84;transport
2018 July 2;Coop Pronto Nyon;65.90;;;; 295.33;transport
2018 July 2;To Vacation savings;0.50;;;; 361.23;transfers
2018 July 2;To Vacation savings;0.20;;;; 361.73;transfers
2018 July 2;Tivoli Marinotel - Lak;125.83;;EUR 108.00;; 361.93;travel
2018 July 1;To Vacation savings;0.10;;;; 487.76;transfers
2018 July 1;To Vacation savings;1.00;;;; 487.86;transfers
2018 July 1;To Vacation savings;0.48;;;; 488.86;transfers
2018 July 1;To Vacation savings;0.57;;;; 489.34;transfers
2018 July 1;To Vacation savings;0.51;;;; 489.91;transfers
2018 June 30;To Vacation savings;0.17;;;; 490.42;transfers
2018 June 29;The Old Course Golf;277.07;;EUR 240.00;; 490.59;shopping
2018 June 29;Golfclubstroire;23.00;;EUR 19.95;; 767.66;shopping
2018 June 29;Dom Pedro;31.75;;EUR 27.50;; 790.66;travel
2018 June 29;Hotel Vila Gale Marina;2.89;;EUR 2.50;; 822.41;travel
2018 June 29;Hotel Vila Gale Marina;495.55;;EUR 430.00;; 825.30;travel
2018 June 29;Bistro de la Tour;20.70;;;; 1'320.85;restaurants
2018 June 29;The Clubhouse;36.00;;;; 1'341.55;restaurants
2018 June 29;The Clubhouse;18.00;;;; 1'377.55;restaurants
2018 June 29;Uber;27.54;;EUR 23.89;; 1'395.55;transport
2018 June 28;To Vacation savings;0.11;;;; 1'423.09;transfers
2018 June 28;To Vacation savings;0.93;;;; 1'423.20;transfers
2018 June 28;To Vacation savings;0.25;;;; 1'424.13;transfers
2018 June 28;To Vacation savings;0.45;;;; 1'424.38;transfers
2018 June 28;To Vacation savings;0.46;;;; 1'424.83;transfers
2018 June 28;To Vacation savings;1.00;;;; 1'425.29;transfers
2018 June 28;To Vacation savings;0.30;;;; 1'426.29;transfers
2018 June 27;To Vacation savings;1.00;;;; 1'426.59;transfers
2018 June 27;To Vacation savings;1.00;;;; 1'427.59;transfers
2018 June 26;From Charlotte Tengelin;; 600.00;;; 1'428.59;transfers
2018 June 26;Globus Gastro Gen?ve;17.50;;;; 828.59;groceries
2018 June 26;Kiosk Pam Cornavin;5.70;;;; 846.09;restaurants
2018 June 26;Intersoccer Sarl;525.00;;;; 851.79;travel
2018 June 25;Le Clavelin;68.41;;EUR 59.00;; 1'376.79;services
2018 June 25;To Vacation savings;0.50;;;; 1'445.20;transfers
2018 June 25;To Vacation savings;0.30;;;; 1'445.70;transfers
2018 June 25;Atac;347.18;;EUR 301.44;; 1'446.00;groceries
2018 June 25;Grand Cafe Real Sa;65.00;;;; 1'793.18;restaurants
2018 June 24;To Vacation savings;1.00;;;; 1'858.18;transfers
2018 June 24;To Vacation savings;0.59;;;; 1'859.18;transfers
2018 June 22;To Vacation savings;0.82;;;; 1'859.77;transfers
2018 June 22;Green Gorilla;17.90;;;; 1'860.59;restaurants
2018 June 22;To Vacation savings;1.00;;;; 1'878.49;transfers
2018 June 22;Ochsner Sport;149.80;;;; 1'879.49;shopping
2018 June 22;Coop-2201 Ge City Nf;14.95;;;; 2'029.29;groceries
2018 June 22;Coop Restaurant Genève Fusterie;72.30;;;; 2'044.24;groceries
2018 June 22;To Charlotte Tengelin;2'000.00;;;; 2'116.54;transfers
2018 June 21;Running Planet;899.00;;;; 4'116.54;shopping
2018 June 21;Pharmacie Principale *;31.90;;;; 5'015.54;health
2018 June 21;Sushi Haiku Sa;23.50;;;; 5'047.44;restaurants
2018 June 21;Brasserie De Rive;100.00;;;; 5'070.94;restaurants
2018 June 21;To Vacation savings;0.70;;;; 5'170.94;transfers
2018 June 21;To Vacation savings;0.05;;;; 5'171.64;transfers
2018 June 21;To Vacation savings;0.20;;;; 5'171.69;transfers
2018 June 21;To Vacation savings;0.10;;;; 5'171.89;transfers
2018 June 21;Migros M Fusterie;6.05;;;; 5'171.99;groceries
2018 June 21;Restaurant Wasabi;14.20;;;; 5'178.04;restaurants
2018 June 20;To Vacation savings;0.50;;;; 5'192.24;transfers
2018 June 20;To Vacation savings;0.10;;;; 5'192.74;transfers
2018 June 20;To Vacation savings;1.00;;;; 5'192.84;transfers
2018 June 20;Migros Mmm Nyon La Com;47.45;;;; 5'193.84;groceries
2018 June 20;Coop-2201 Ge City Nf;7.50;;;; 5'241.29;groceries
2018 June 19;Sumup  *leonardo Compa;39.00;;;; 5'248.79;restaurants
2018 June 19;Sumup  *leonardo Compa;5.00;;;; 5'287.79;restaurants
2018 June 19;Sumup  *leonardo Compa;1.70;;;; 5'292.79;restaurants
2018 June 19;To Vacation savings;1.00;;;; 5'294.49;transfers
2018 June 19;Cdg 2e Principa;19.24;;EUR 16.50;; 5'295.49;utilities
2018 June 19;Aig Caisse Auto Ep2 Pa;2.00;;;; 5'314.73;transport
2018 June 19;Mus? Historique;16.00;;;; 5'316.73;entertainment
2018 June 19;To Vacation savings;0.80;;;; 5'332.73;transfers
2018 June 19;To Vacation savings;0.95;;;; 5'333.53;transfers
2018 June 18;To Vacation savings;0.55;;;; 5'334.48;transfers
2018 June 18;To Matteo Vasirani;10.00;;;; 5'335.03;transfers
2018 June 18;To Vacation savings;0.50;;;; 5'345.03;transfers
2018 June 17;To Charlotte Tengelin;100.00;;;; 5'345.53;transfers
2018 June 17;To Vacation savings;1.00;;;; 5'445.53;transfers
2018 June 17;To Vacation savings;1.00;;;; 5'446.53;transfers
2018 June 17;To Vacation savings;0.30;;;; 5'447.53;transfers
2018 June 17;To Vacation savings;1.00;;;; 5'447.83;transfers
2018 June 16;To Vacation savings;1.00;;;; 5'448.83;transfers
2018 June 16;To Vacation savings;0.76;;;; 5'449.83;transfers
2018 June 14;Nike.com;133.99;;USD 135.94;; 5'450.59;general
2018 June 14;Rest Wolfgang Puck;4.89;;MXN 101.00;; 5'584.58;restaurants
2018 June 13;United01626007647305;25.75;;USD 26.00;; 5'589.47;travel
2018 June 13;Cash at Banco Santander;120.07;;MXN 2'484.80;; 5'615.22;cash
2018 June 12;Refund from Cash at Playa Del Carme;; 488.63;;; 5'735.29;general
2018 June 12;Cash at Playa Del Carme;488.63;;MXN 10'046.28;; 5'246.66;cash
2018 June 12;Cash at Banorte-mxn;370.20;;GBP 276.03;; 5'735.29;cash
2018 June 12;Amazon;25.50;;USD 25.90;; 6'105.49;entertainment
2018 June 11;To Vacation savings;0.01;;;; 6'130.99;transfers
2018 June 11;Keel Rest;26.56;;MXN 546.00;; 6'131.00;restaurants
2018 June 11;Deck 5 Skybar;8.08;;MXN 165.20;; 6'157.56;restaurants
2018 June 11;Xelbor Cab;38.40;;MXN 800.00;; 6'165.64;transport
2018 June 11;Amazon;85.64;;USD 86.99;; 6'204.04;entertainment
2018 June 11;To Vacation savings;0.11;;;; 6'289.68;transfers
2018 June 10;To Vacation savings;0.25;;;; 6'289.79;transfers
2018 June 9;To Vacation savings;0.92;;;; 6'290.04;transfers
2018 June 9;To Vacation savings;0.44;;;; 6'290.96;transfers
2018 June 8;Amazon;66.52;;USD 67.29;; 6'291.40;entertainment
2018 June 8;To Vacation savings;0.60;;;; 6'357.92;transfers
2018 June 7;Amende Radar Web;52.05;;EUR 45.00;; 6'358.52;general
2018 June 7;To Vacation savings;0.50;;;; 6'410.57;transfers
2018 June 7;To Vacation savings;0.36;;;; 6'411.07;transfers
2018 June 6;Paypal *payments;104.92;;USD 106.14;; 6'411.43;services
2018 June 6;Apple;178.50;;;; 6'516.35;shopping
2018 June 6;V.e.s.p.a;225.32;;SEK 2'000.00;; 6'694.85;restaurants
2018 June 6;Yosushi Cph T3 47;89.63;;DKK 576.00;; 6'920.17;restaurants
2018 June 6;Restaurant Wasabi;19.60;;;; 7'009.80;restaurants
2018 June 5;Klarna * Fyndiq Ab;19.83;;SEK 176.00;; 7'029.40;transport
2018 June 5;Bar Tgl Italia Ab;8.57;;SEK 76.00;; 7'049.23;restaurants
2018 June 5;Bar Tgl Italia Ab;11.84;;SEK 105.00;; 7'057.80;restaurants
2018 June 5;Smak Paa Malmo Konstha;3.27;;SEK 29.00;; 7'069.64;restaurants
2018 June 5;Klarna * Fyndiq Ab;6.34;;SEK 56.25;; 7'072.91;transport
2018 June 5;Klarna * Fyndiq Ab;4.23;;SEK 37.50;; 7'079.25;transport
2018 June 5;Maxi Ica Stormarknad V;8.56;;SEK 75.90;; 7'083.48;groceries
2018 June 4;To Vacation savings;0.95;;;; 7'092.04;transfers
2018 June 4;To Vacation savings;0.08;;;; 7'092.99;transfers
2018 June 4;To Vacation savings;0.50;;;; 7'093.07;transfers
2018 June 4;To Vacation savings;1.00;;;; 7'093.57;transfers
2018 June 4;Mc Donald's;21.40;;;; 7'094.57;restaurants
2018 June 4;To Vacation savings;0.40;;;; 7'115.97;transfers
2018 June 4;Steffs T3 Landside 56;9.89;;DKK 64.00;; 7'116.37;restaurants
2018 June 3;To Vacation savings;0.37;;;; 7'126.26;transfers
2018 June 3;To Vacation savings;0.17;;;; 7'126.63;transfers
2018 June 3;To Vacation savings;0.68;;;; 7'126.80;transfers
2018 June 3;To Vacation savings;0.43;;;; 7'127.48;transfers
2018 June 3;To Vacation savings;0.16;;;; 7'127.91;transfers
2018 June 2;To Vacation savings;0.44;;;; 7'128.07;transfers
2018 June 2;To Vacation savings;0.66;;;; 7'128.51;transfers
2018 June 2;To Vacation savings;0.73;;;; 7'129.17;transfers
2018 June 2;To Vacation savings;0.77;;;; 7'129.90;transfers
2018 June 2;Top-up via transfer;; 5'000.00;;; 7'130.67;general
2018 June 1;Klarna * Fyndiq Ab;12.30;;SEK 110.00;; 2'130.67;transport
2018 June 1;Gebr Heinemann Retail;44.33;;DKK 287.00;; 2'142.97;shopping
2018 June 1;Top-up via transfer;; 2'000.00;;; 2'187.30;general
2018 May 31;Coop Pronto Nyon;77.00;;;; 187.30;transport
2018 May 31;To Vacation savings;0.11;;;; 264.30;transfers
2018 May 31;To Vacation savings;0.67;;;; 264.41;transfers
2018 May 31;To Vacation savings;0.70;;;; 265.08;transfers
2018 May 31;To Vacation savings;0.60;;;; 265.78;transfers
2018 May 30;To Vacation savings;1.00;;;; 266.38;transfers
2018 May 26;Easyjet;382.12;;;; 267.38;travel
2018 May 24;To Vacation savings;0.88;;;; 649.50;transfers
2018 May 23;Arlanda Express;32.10;;SEK 280.00;; 650.38;transport
2018 May 22;Schweiz. Bundesbahn;7.70;;;; 682.48;transport
2018 May 22;Adf Principale;8.20;;;; 690.18;shopping
2018 May 22;Caviar House Seafood B;40.00;;;; 698.38;restaurants
2018 May 22;Lionel B.;130.00;;;; 738.38;services
2018 May 22;Loka Brunn Kur   Konf;24.67;;SEK 215.00;; 868.38;travel
2018 May 22;Loka Brunn Kur   Konf;484.23;;SEK 4'220.00;; 893.05;travel
2018 May 22;Circle K Enkoping Sala;21.13;;SEK 184.13;; 1'377.28;transport
2018 May 21;Bokhandeln;172.67;;SEK 1'505.00;; 1'398.41;entertainment
2018 May 21;Hmshost Amsterdam Schi;14.63;;SEK 128.00;; 1'571.08;restaurants
2018 May 21;To Vacation savings;0.90;;;; 1'585.71;transfers
2018 May 21;Systemb Hallstahammar;91.20;;SEK 799.50;; 1'586.61;shopping
2018 May 20;To Vacation savings;0.87;;;; 1'677.81;transfers
2018 May 20;To Vacation savings;0.33;;;; 1'678.68;transfers
2018 May 20;To Vacation savings;0.77;;;; 1'679.01;transfers
2018 May 19;To Vacation savings;0.33;;;; 1'679.78;transfers
2018 May 18;To Vacation savings;0.80;;;; 1'680.11;transfers
2018 May 18;To Vacation savings;0.37;;;; 1'680.91;transfers
2018 May 18;To Vacation savings;1.00;;;; 1'681.28;transfers
2018 May 18;To Vacation savings;0.80;;;; 1'682.28;transfers
2018 May 18;To Vacation savings;0.30;;;; 1'683.08;transfers
2018 May 18;To Vacation savings;1.00;;;; 1'683.38;transfers
2018 May 18;Globus Gastro Gen?ve;23.50;;;; 1'684.38;groceries
2018 May 17;Restaurant Mekong;23.00;;;; 1'707.88;restaurants
2018 May 17;Grand Cafe Real Sa;27.80;;;; 1'730.88;restaurants
2018 May 17;To Vacation savings;0.50;;;; 1'758.68;transfers
2018 May 17;Swisscom (schweiz) Ag;19.90;;;; 1'759.18;services
2018 May 17;Pharmacie-parf. Sunsto;5.20;;;; 1'779.08;health
2018 May 17;Pharmacie-parf. Sunsto;83.70;;;; 1'784.28;health
2018 May 16;To Vacation savings;1.00;;;; 1'867.98;transfers
2018 May 16;Boucherie-espace Molar;16.50;;;; 1'868.98;groceries
2018 May 16;To Vacation savings;0.80;;;; 1'885.48;transfers
2018 May 16;To Vacation savings;0.30;;;; 1'886.28;transfers
2018 May 16;To Vacation savings;0.10;;;; 1'886.58;transfers
2018 May 16;To Vacation savings;0.20;;;; 1'886.68;transfers
2018 May 16;Green Gorilla;19.90;;;; 1'886.88;restaurants
2018 May 16;Ochsner Sport ;32.00;;;; 1'906.78;shopping
2018 May 15;Les Palmiers;96.31;;EUR 80.10;; 1'938.78;restaurants
2018 May 15;Easyjetev51xj4;419.49;;DKK 2'604.27;; 2'035.09;travel
2018 May 15;Mc Donald's;26.93;;EUR 22.40;; 2'454.58;restaurants
2018 May 15;Les 2 Freres;134.04;;EUR 111.50;; 2'481.51;restaurants
2018 May 15;To Vacation savings;0.50;;;; 2'615.55;transfers
2018 May 15;M Jerome Buono;13.75;;EUR 11.49;; 2'616.05;groceries
2018 May 15;Paloma Beach;55.90;;EUR 46.50;; 2'629.80;restaurants
2018 May 15;Paloma Beach;192.35;;EUR 160.00;; 2'685.70;restaurants
2018 May 14;Bazar Et Chiffon;341.17;;EUR 283.80;; 2'878.05;utilities
2018 May 14;Casa;646.60;;EUR 541.96;; 3'219.22;utilities
2018 May 14;To Vacation savings;1.00;;;; 3'865.82;transfers
2018 May 14;To Vacation savings;0.10;;;; 3'866.82;transfers
2018 May 13;To Vacation savings;0.07;;;; 3'866.92;transfers
2018 May 13;To Vacation savings;0.51;;;; 3'866.99;transfers
2018 May 13;To Vacation savings;0.69;;;; 3'867.50;transfers
2018 May 12;To Vacation savings;0.96;;;; 3'868.19;transfers
2018 May 12;To Vacation savings;0.83;;;; 3'869.15;transfers
2018 May 12;To Vacation savings;0.10;;;; 3'869.98;transfers
2018 May 12;To Vacation savings;0.65;;;; 3'870.08;transfers
2018 May 11;Le Cosmo;125.30;;EUR 105.00;; 3'870.73;restaurants
2018 May 11;Carrefourmarket;233.77;;EUR 195.63;; 3'996.03;groceries
2018 May 11;To Vacation savings;0.25;;;; 4'229.80;transfers
2018 May 11;To Vacation savings;0.40;;;; 4'230.05;transfers
2018 May 11;Schweiz. Bundesbahn;4.50;;;; 4'230.45;transport
2018 May 11;Festival Cafe;126.54;;EUR 106.20;; 4'234.95;restaurants
2018 May 11;Starbucks;14.70;;;; 4'361.49;restaurants
2018 May 10;Cash at Ciclb Orange 1;107.24;;EUR 90.00;; 4'376.19;cash
2018 May 10;Roc31776prtdrome;26.79;;EUR 22.50;; 4'483.43;transport
2018 May 10;To Vacation savings;0.23;;;; 4'510.22;transfers
2018 May 10;To Vacation savings;0.70;;;; 4'510.45;transfers
2018 May 10;Easyjetev3kqhj;237.08;;DKK 1'483.98;; 4'511.15;travel
2018 May 9;To Vacation savings;0.46;;;; 4'748.23;transfers
2018 May 9;To Vacation savings;0.21;;;; 4'748.69;transfers
2018 May 9;Globus Gastro Gen?ve;17.50;;;; 4'748.90;groceries
2018 May 9;To Vacation savings;0.30;;;; 4'766.40;transfers
2018 May 9;Hotels.com147887378587;16.85;;;; 4'766.70;travel
2018 May 9;To Vacation savings;0.50;;;; 4'783.55;transfers
2018 May 8;Coop-1919 Ge City Food;60.75;;;; 4'784.05;groceries
2018 May 8;Restaurant Wasabi;12.80;;;; 4'844.80;restaurants
2018 May 8;To Vacation savings;0.15;;;; 4'857.60;transfers
2018 May 8;To Vacation savings;0.92;;;; 4'857.75;transfers
2018 May 8;To Vacation savings;0.50;;;; 4'858.67;transfers
2018 May 8;Pacific Outfi Face;7.57;;USD 7.56;; 4'859.17;shopping
2018 May 7;To Vacation savings;0.25;;;; 4'866.74;transfers
2018 May 7;Interdiscount-3102 Sig;56.85;;;; 4'866.99;shopping
2018 May 7;Sfmoma Museumstore Sfo;49.17;;USD 49.13;; 4'923.84;shopping
2018 May 7;To Vacation savings;0.20;;;; 4'973.01;transfers
2018 May 7;Walgreens;24.41;;USD 24.39;; 4'973.21;health
2018 May 7;Amazon Retail Llc Sf01;184.69;;USD 184.53;; 4'997.62;utilities
2018 May 5;To Vacation savings;0.15;;;; 5'182.31;transfers
2018 May 4;To Vacation savings;0.43;;;; 5'182.46;transfers
2018 May 4;To Vacation savings;0.83;;;; 5'182.89;transfers
2018 May 4;To Vacation savings;0.59;;;; 5'183.72;transfers
2018 May 4;To Vacation savings;0.31;;;; 5'184.31;transfers
2018 May 3;Top-up via transfer;; 5'000.00;;; 5'184.62;general
2018 May 2;Le D?barcad?re;160.00;;;; 184.62;restaurants
2018 May 1;La Plage De Nyon;72.20;;;; 344.62;restaurants
2018 May 1;Coop Pronto Nyon;32.60;;;; 416.82;transport
2018 May 1;Fb Fundraiser;6.00;;;; 449.42;services
2018 April 30;Starbucks;10.70;;;; 455.42;restaurants
2018 April 30;Globus Gastro Gen?ve;23.50;;;; 466.12;groceries
2018 April 30;Cafe Des Arts;50.00;;;; 489.62;restaurants
2018 April 29;Bosphore-resto;28.40;;;; 539.62;restaurants
2018 April 29;Transatel;29.92;;EUR 25.00;; 568.02;services
2018 April 29;Globus Gastro Gen?ve;18.00;;;; 597.94;groceries
2018 April 29;Paytrail*isocket Syste;206.17;;EUR 172.30;; 615.94;utilities
2018 April 29;Grand Cafe Real Sa;26.80;;;; 822.11;restaurants
2018 April 29;Restaurant Mekong;23.00;;;; 848.91;restaurants
2018 April 29;Icebreaker_eu;286.60;;;; 871.91;shopping
2018 April 28;Restaurant Wasabi;19.80;;;; 1'158.51;restaurants
2018 April 28;Green Gorilla;16.90;;;; 1'178.31;restaurants
2018 April 27;Migros Mmm Nyon La Com;41.40;;;; 1'195.21;groceries
2018 April 27;Migros M Fusterie;14.75;;;; 1'236.61;groceries
2018 April 27;Cash at Br Nyon;40.00;;;; 1'251.36;cash
2018 April 27;Sumup  *pb Pain Et Bri;43.20;;;; 1'291.36;restaurants
2018 April 26;Shell Station-service;65.95;;;; 1'334.56;transport
2018 April 26;Boucherie-espace Molar;16.50;;;; 1'400.51;groceries
2018 April 23;To Charlotte Tengelin;1'000.00;;;; 1'417.01;transfers
2018 April 21;Top-up via transfer;; 2'000.00;;; 2'417.01;general
2018 April 20;Globus Gastro Gen?ve;13.00;;;; 417.01;groceries
2018 April 20;Coop Pronto Nyon;26.60;;;; 430.01;transport
2018 April 20;Llao Llao;8.90;;;; 456.61;groceries
2018 April 20;La Plage De Nyon;75.00;;;; 465.51;restaurants
2018 April 19;To Charlotte Tengelin;350.00;;;; 540.51;transfers
2018 April 18;Sumup  *street Gourmet;9.00;;;; 890.51;restaurants
2018 April 18;Globus Gastro Gen?ve;12.90;;;; 899.51;groceries
2018 April 18;Green Gorilla;16.90;;;; 912.41;restaurants
2018 April 17;Green Gorilla;19.90;;;; 929.31;restaurants
2018 April 17;Coop-1281 Verbier;53.50;;;; 949.21;groceries
2018 April 16;Mountain-air Hardware;76.30;;;; 1'002.71;shopping
2018 April 16;Happy Sushi S?rl;28.00;;;; 1'079.01;restaurants
2018 April 16;Coop Pronto Montreux;16.20;;;; 1'107.01;groceries
2018 April 16;Uber Bv;10.81;;;; 1'123.21;transport
2018 April 15;To Patrik Hyberg;50.00;;;; 1'134.02;transfers
2018 April 13;Mc Donald's;6.10;;;; 1'184.02;restaurants
2018 April 13;Grand Cafe Real Sa;28.00;;;; 1'190.12;restaurants
2018 April 13;Amazon;27.60;;USD 28.82;; 1'218.12;entertainment
2018 April 12;To Patrik Hyberg;135.00;;;; 1'245.72;transfers
2018 April 12;Migros M Fusterie;9.00;;;; 1'380.72;groceries
2018 April 11;To Adrien De Castro;14.00;;;; 1'389.72;transfers
2018 April 11;Globus Gastro Gen?ve;14.30;;;; 1'403.72;groceries
2018 April 11;Globus Gastro Gen?ve;23.50;;;; 1'418.02;groceries
2018 April 11;Coop Pronto Nyon;28.35;;;; 1'441.52;transport
2018 April 10;To Patrik Hyberg;10.00;;;; 1'469.87;transfers
2018 April 10;Molino Molard Ge;80.00;;;; 1'479.87;restaurants
2018 April 10;Diesel Gen?ve Touzeau;179.00;;;; 1'559.87;shopping
2018 April 9;Parking Du Mont-blanc;24.00;;;; 1'738.87;services
2018 April 9;Restaurant Le Dahu Sa;45.50;;;; 1'762.87;restaurants
2018 April 9;Coop-2201 Ge City Nf;3.10;;;; 1'808.37;groceries
2018 April 9;Globus Gastro Gen?ve;52.50;;;; 1'811.47;groceries
2018 April 9;Brasserie De Rive;84.00;;;; 1'863.97;restaurants
2018 April 6;Mc Donald's;6.10;;;; 1'947.97;restaurants
2018 April 6;From Matteo Vasirani;; 23.50;;; 1'954.07;transfers
2018 April 6;Sbb Cff Ffs Mobile Tic;4.50;;;; 1'930.57;transport
2018 April 6;Boucherie-espace Molar;31.50;;;; 1'935.07;groceries
2018 April 6;Grand Cafe Real Sa;34.80;;;; 1'966.57;restaurants
2018 April 5;Sbb Cff Ffs Mobile Tic;4.50;;;; 2'001.37;transport
2018 April 5;Sbb Cff Ffs Mobile Tic;4.50;;;; 2'005.87;transport
2018 April 4;Les Palmiers;37.84;;EUR 32.00;; 2'010.37;restaurants
2018 April 4;Sbb Cff Ffs Mobile Tic;15.40;;;; 2'048.21;transport
2018 April 4;La Caravelle;76.26;;EUR 64.80;; 2'063.61;restaurants
2018 April 4;Villa D'este;118.69;;EUR 101.00;; 2'139.87;restaurants
2018 April 4;To Charlotte Tengelin;2'000.00;;;; 2'258.56;transfers
2018 April 4;Top-up via transfer;; 4'000.00;;; 4'258.56;general
2018 April 4;Les 2 Freres;117.48;;EUR 100.00;; 258.56;restaurants
2018 April 3;Nespresso Franc;65.13;;EUR 55.40;; 376.04;general
2018 April 3;Banana Cafe;89.52;;EUR 75.70;; 441.17;restaurants
2018 April 3;Uber;17.78;;EUR 15.12;; 530.69;transport
2018 April 3;Uber;1.18;;EUR 1.00;; 548.47;transport
2018 April 3;Uber;26.86;;EUR 22.85;; 549.65;transport
2018 April 3;Cash at Ce Cote D Azur;117.88;;EUR 100.00;; 576.51;cash
2018 April 3;Le Cellier;44.60;;;; 694.39;restaurants
2018 April 3;Superettethorel;24.09;;EUR 20.48;; 738.99;groceries
2018 March 29;Grand Cafe Real Sa;29.80;;;; 763.08;restaurants
2018 March 29;Sbb Cff Ffs Mobile Tic;2.00;;;; 792.88;transport
2018 March 29;Sbb Cff Ffs Mobile Tic;4.50;;;; 794.88;transport
2018 March 29;Migros Mmm Nyon La Com;2.10;;;; 799.38;groceries
2018 March 28;Sbb Cff Ffs Mobile Tic;4.50;;;; 801.48;transport
2018 March 28;Sbb Cff Ffs Mobile Tic;4.50;;;; 805.98;transport
2018 March 28;Boucherie-espace Molar;16.50;;;; 810.48;groceries
2018 March 27;Green Gorilla;16.90;;;; 826.98;restaurants
2018 March 27;Sbb Cff Ffs Mobile Tic;2.00;;;; 843.88;transport
2018 March 27;Sbb Cff Ffs Mobile Tic;2.00;;;; 845.88;transport
2018 March 27;Sbb Cff Ffs Mobile Tic;4.50;;;; 847.88;transport
2018 March 27;Sbb Cff Ffs Mobile Tic;4.50;;;; 852.38;transport
2018 March 27;Coop-5467 Ge Aperto Ga;2.10;;;; 856.88;groceries
2018 March 27;Ochsner Sport ;37.80;;;; 858.98;shopping
2018 March 27;Migros Mmm Nyon La Com;121.05;;;; 896.78;groceries
2018 March 27;Pharmacie Principale *;12.90;;;; 1'017.83;health
2018 March 27;Le D?barcad?re;70.80;;;; 1'030.73;restaurants
2018 March 27;Boulangerie Bonnin;22.00;;;; 1'101.53;groceries
2018 March 26;Sbb Cff Ffs Mobile Tic;15.40;;;; 1'123.53;transport
2018 March 26;Sbb Cff Ffs Mobile Tic;7.70;;;; 1'138.93;transport
2018 March 24;To Charlotte Tengelin;1'000.00;;;; 1'146.63;transfers
2018 March 23;Top-up via transfer;; 2'000.00;;; 2'146.63;general
2018 March 23;Fb Fundraiser;37.00;;;; 146.63;services
2018 March 22;Aramark Sap Center;5.02;;USD 5.25;; 183.63;restaurants
2018 March 21;To Charlotte Tengelin;500.00;;;; 188.65;transfers
2018 March 21;Ea Experience;21.44;;USD 22.55;; 688.65;services
2018 March 20;Rangoon Ruby Burme;57.74;;USD 60.69;; 710.09;restaurants
2018 March 20;Sbb Cff Ffs Mobile Tic;15.40;;;; 767.83;transport
2018 March 20;Presidio - Arguello;48.44;;USD 50.59;; 783.23;restaurants
